Epochs,Learning Rate,Depth,Width,Mean
60,0.01,2,20,57.53536070925365
2025-01-02 04_55,50,0.01,2,50,58.61723006864747,"[89.73995271867612, 38.14887365328109, 69.5837780149413, 66.11278952668681, 29.500756429652043]"
2025-01-02 05_48,50,0.01,2,50,59.12597981662435,"[89.03073286052009, 40.30362389813908, 67.55602988260405, 66.51560926485398, 32.22390317700454]"
2025-01-02 06_43,50,0.01,2,50,55.78419712324334,"[85.29550827423168, 32.615083251714005, 66.7556029882604, 64.24974823766365, 30.005042864346947]"
2025-01-02 07_39,50,0.01,2,50,57.691391434224556,"[90.40189125295508, 33.692458374142994, 67.28922091782283, 67.82477341389728, 29.24861321230459]"
2025-01-02 08_35,50,0.01,2,50,58.24652808430388,"[87.84869976359339, 34.52497551420176, 70.11739594450374, 65.15609264853978, 33.58547655068079]"
2025-01-02 09_31,50,0.01,2,50,57.834585880389874,"[85.43735224586288, 33.05582761998041, 67.6093916755603, 70.49345417925478, 32.57690368129097]"
2025-01-02 10_28,50,0.01,2,50,59.67582352823571,"[87.80141843971631, 38.295788442703234, 71.02454642475988, 68.8821752265861, 32.37518910741301]"
2025-01-02 12_26,50,0.01,2,20,56.80092249729711,"[92.90780141843972, 37.36532810969638, 59.92529348986126, 60.775427995971796, 33.03076147251639]"
2025-01-02 12_44,50,0.01,2,20,58.61401122519929,"[88.88888888888889, 32.95788442703232, 69.957310565635, 63.19234642497482, 38.073625819465455]"
2025-01-02 13_00,50,0.01,2,20,58.14886418362629,"[85.86288416075651, 39.03036238981391, 64.94130202774814, 65.30715005035248, 35.60262228946041]"
2025-01-02 13_16,50,0.01,2,20,55.58390291492027,"[91.96217494089835, 33.30068560235064, 56.883671291355384, 60.72507552870091, 35.047907211296014]"
2025-01-02 13_32,50,0.01,2,20,55.88307260960444,"[79.81087470449172, 36.72869735553379, 65.90181430096051, 66.86807653575025, 30.10590015128593]"
2025-01-02 13_49,50,0.01,2,20,58.39105966200832,"[86.57210401891253, 39.764936336924585, 61.73959445037354, 69.53675730110776, 34.34190620272315]"
2025-01-02 14_05,50,0.01,2,20,57.75912543358934,"[93.9952718676123, 36.777668952007836, 61.04589114194236, 65.00503524672709, 31.971759959657085]"
2025-01-02 14_22,50,0.01,2,20,56.54219108464345,"[81.56028368794325, 45.15181194906954, 64.35432230522946, 56.294058408862035, 35.35047907211296]"
2025-01-02 14_37,50,0.01,2,20,55.50498441069622,"[81.89125295508273, 34.03525954946131, 62.86019210245464, 67.37160120845923, 31.366616238023198]"
2025-01-02 14_54,50,0.01,2,20,54.49675079150036,"[86.99763593380615, 42.21351616062684, 59.44503735325507, 56.646525679758305, 27.18103883005547]"
2025-01-02T19_35_52,50,0.01,2,50,54.49675079150036,"[86.99763593380615, 42.21351616062684, 59.44503735325507, 56.646525679758305, 27.18103883005547]"
2025-01-02T20_17_35,50,0.01,2,50,54.49675079150036,"[86.99763593380615, 42.21351616062684, 59.44503735325507, 56.646525679758305, 27.18103883005547]"
